id,name,sex,age,city,subgenre,label
ab,Abdi,,,,,
av,AchtVier,,,,,
aje,AJE,,,,,
ak,AK Aussenkontrolle,,,,,
al,Albow,,,,,
alg,Al-Gear,,,,,
at,Amir T,,,,,
as,Aslan,,,,,
az,Azad,,,,,
azr,Azro,,,,,
azz,Azzi Memo,,,,,
bsh,Bass Sultan Hengzt,,,,,
b,Bausa,,,,,
be,Berkan,,,,,
bil,Bilel,,,,,
bl,B-Lash,,,,,
bk,Blut & Kasse,,,,,
bmc,Bonez MC,,,,,
bo,Born,,,,,
bu,Bushido,,,,,
cal,CALO,,,,,
cbr,Capital Bra,,,,,
ct,Capital T,,,,,
ca,Capkekz,,,,,
cap,Capo,,,,,
cas,Casper,,,,,
caz,Caz,,,,,
cel,Celo,,,,,
ch,Chaker,,,,,
cra,Crackaveli,,,,,
dar,Dardan,,,,,
ef,Eko Fresh,,,,,
eno,Eno,,,,,
f,Fard,,,,,
fb,Farid Bang,,,,,
gen,Genetikk,,,,,
gri,Gringo 44,,,,,
gu,Gurbet,,,,,
gz,Gzuz,,,,,
h,Haftbefehl,,,,,
han,Hanybal,,,,,
haz,Haze76,,,,,
jey,Jeyz,,,,,
jm,Joshi Mizu,,,,,
ju,Juju,,,,,
kal,Kalim,,,,,
ka,Karate Andi,,,,,
kar,Karen,,,,,
kay,Kay Ay,,,,,
kcr,KC Rebell,,,,,
kk,King Khalil,,,,,
kol,Kollegah,,,,,
kok,Kontra K,,,,,
laf,La Fouine,,,,,
la,Lativ,,,,,
lu,Luciano,,,,,
luc,Lucky,,,,,
lx,LX,,,,,
man,Manuellsen,,,,,
mas,Massiv,,,,,
my,Miami Yacine,,,,,
mil,Milonair,,,,,
mo,Mortel,,,,,
mos,Mosh36,,,,,
nat,Nate57,,,,,
nim,Nimo,,,,,
nu,Nura,,,,,
ol,Olexesh,,,,,
pa,Paluch,,,,,
pl,Plusmacher,,,,,
pp,Prinz Pi,,,,,
raf,RAF Camora,,,,,
ram,Ramazan,,,,,
ra,Rapido,,,,,
rap,Rapsta,,,,,
r,Reezy,,,,,
sq,SadiQ,,,,,
sai,Said,,,,,
sa,Samra,,,,,
sam,Samy,,,,,
se,Schwesta Ewa,,,,,
sen,Sentence,,,,,
s,Sido,,,,,
sc,Summer Cem,,,,,
so,Svaba Ortak,,,,,
sy,Sylo,,,,,
tat,Tatwaffe,,,,,
tt,Telly Tellz,,,,,
tda,Toni der Assi,,,,,
t,Trettmann,,,,,
tw,Twin,,,,,
ufo,Ufo361,,,,,
v,Veysel,,,,,
x,Xatar,,,,,
ya,Yasha,,,,,
y,Yassin,,,,,
yo,Yonii,,,,,
yh,Yung Hurn,,,,,
z,Zuna,,,,,
