from,to,time
bau,h,2014
bau,rap,2015
bau,h,2015
bau,bmc,2016
bau,raf,2016
bau,t,2017
bau,yh,2017
bau,pp,2017
bau,kok,2017
bau,my,2017
bau,zun,2017
bau,yh,2018
bau,sc,2018
bau,kok,2018
bau,ree,2018
bau,cbr,2018
bau,raf,2018
bau,mos,2012
ole,cel,2012
ole,abd,2012
ole,as,2012
ole,se,2012
ole,ag,2012
ole,azr,2012
ole,han,2014
ole,abd,2014
ole,eko,2014
ole,cel,2014
ole,gzuz,2014
ole,fard,2014
ole,cel,2014
ole,abd,2014
ole,ch,2014
ole,kaa,2014
ole,crac,2014
ole,si,2015
ole,cel,2015
ole,abd,2015
ole,han,2015
ole,vey,2015
ole,aje,2015
ole,aje,2015
ole,aje,2015
ole,aje,2015
ole,man,2015
ole,aje,2015
ole,aje,2015
ole,yass,2015
ole,aje,2015
ole,aje,2015
ole,aje,2015
ole,gzuz,2016
ole,cel,2016
ole,abd,2016
ole,x,2016
ole,h,2016
ole,ni,2016
ole,aje,2018
ole,yo,2018
ole,kar,2018
ole,jeyz,2018
ole,aje,2018
ole,cbr,2018
ole,ni,2018
ole,az,2018
ole,han,2018
ole,cel,2018
ole,abd,2018
ole,ufo,2018
ole,x,2018
ole,bmc,2018
ole,cbr,2018
ole,ak,2018
ole,yh,2018
ole,cas,2018
ole,ni,2018
ole,cel,2018
ole,abd,2018
ole,han,2018
ole,aje,2018
ole,azz,2018
cel,ole,2012
abd,ole,2012
h,ole,2013
mas,ole,2013
bo,ole,2013
t,ole,2013
mos,ole,2013
se,ole,2014
pl,ole,2014
kk,ole,2014
tda,ole,2014
sq,ole,2014
ch,ole,2014
ch,ole,2014
cel,ole,2014
abd,ole,2014
gzuz,ole,2014
bmc,ole,2014
sent,ole,2014
av,ole,2014
be,ole,2014
vey,ole,2014
vey,ole,2014
tt,ole,2014
cel,ole,2014
abd,ole,2014
sy,ole,2014
h,ole,2014
han,ole,2015
x,ole,2015
cel,ole,2015
abd,ole,2015
mos,ole,2015
si,ole,2015
man,ole,2015
bl,ole,2015
h,ole,2015
tw,ole,2016
cbr,ole,2016
ni,ole,2016
so,ole,2016
n57,ole,2016
mil,ole,2016
han,ole,2016
crac,ole,2016
pl,ole,2017
bsh,ole,2017
ufo,ole,2017
dar,ole,2017
azz,ole,2017
ni,ole,2017
mo,ole,2017
eko,ole,2017
jeyz,ole,2017
cel,ole,2017
abd,ole,2017
said,ole,2018
gen,ole,2018
gen,ole,2018
